"address","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","reviewsCount","type","webUrl","website"
"Plaza Trascorrales 1, 33009, Oviedo España","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,"1080","780",,,,,,,,,,,"1080","780",,,,,"1080","780",,,,,"1080","780","1440","1260",,,"1080","780","1440","1260",,,"1080","780","1440","1260",,,"2646181","https://media-cdn.tripadvisor.com/media/photo-o/0c/4c/dc/aa/the-dining-room-of-el.jpg","false","false","43.360634","-5.844167","El Fondin","560","+34 619 41 12 74","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187452-d2646181-Reviews-El_Fondin-Oviedo_Asturias.html","http://www.facebook.com/ElFondinDeTrascorrales/"
"San Roque 18, 33315 Tazones España","Marisco","Mediterránea","Española","Opciones sin gluten",,,,,,,,,,"Opciones sin gluten",,,,,"960","780","1380","1200",,,"960","780","1380","1200",,,"960","780","1380","1200",,,"960","780","1380","1200",,,"960","780","1380","1200",,,"960","780","1380","1200",,,"960","780","1380","1200",,,"4738684","https://media-cdn.tripadvisor.com/media/photo-o/05/a8/9d/ca/bar-el-centollu.jpg","false","false","43.545273","-5.399998","Restaurante El Centollu","410","+34 985 89 70 14","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g2558195-d4738684-Reviews-Restaurante_El_Centollu-Tazones_Villaviciosa_Municipality_Asturias.html","http://www.facebook.com/Restaurante-El-Centollu-1417624411896693/"
"San Juan de Parres 37 Parres, 33550, Cangas de Onís España","Europea","Española","Saludable","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,"casapedroparres@gmail.com","1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"4037968","https://media-cdn.tripadvisor.com/media/photo-o/06/91/41/95/restaurante-casa-pedro.jpg","false","false","43.354443","-5.147357","Restaurante Casa Pedro Parres","1264","+34 985 84 90 20","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g662890-d4037968-Reviews-Restaurante_Casa_Pedro_Parres-Cangas_de_Onis_Asturias.html","https://es-es.facebook.com/casapedrosanjuandeparres/timeline"
"33161 Las Vegas de San Esteban España","Restaurante de carne","Barbacoa","Española","Opciones vegetarianas","Opciones sin gluten","Opciones veganas",,,,,,,,"Opciones vegetarianas","Opciones sin gluten","Opciones veganas",,"restauranteangleiru@hotmail.com","1440","660",,,,,,,,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"4353108","https://media-cdn.tripadvisor.com/media/photo-s/04/09/81/df/parrilla-y-restaurante.jpg","false","false","43.27777","-5.891872","L'Angleiru","255","+34 985 78 30 96","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g7182814-d4353108-Reviews-L_Angleiru-Las_Vegas_de_San_Esteban_Morcin_Municipality_Asturias.html","http://www.angleiru.com"
"Tresquilos, 22, 33838 San Román España","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"llardeviri@hotmail.com","990","750","1380","1170",,,"990","750","1380","1170",,,"990","750","1380","1170",,,"990","750","1380","1170",,,"990","750","1380","1170",,,"990","750","1380","1170",,,"990","750","1380","1170",,,"2318593","https://media-cdn.tripadvisor.com/media/photo-o/05/0e/f0/a9/la-fabada-es-la-especialidad.jpg","false","false","43.448997","-6.076545","El llar de Viri","445","+34 985 82 80 22","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g15273945-d2318593-Reviews-El_llar_de_Viri-San_Roman_Candamo_Municipality_Asturias.html","http://www.llardeviri.eu/"
"Calle de Santa Elena 5, 33201, Gijón España","Italiana","Saludable","Pizza","Opciones vegetarianas","Opciones veganas",,,,,,,,,"Opciones vegetarianas","Opciones veganas",,,,"930","810","1410","1230",,,,,,,,,"1410","1230",,,,,"930","810","1410","1230",,,"930","810","1410","1230",,,"930","810","1410","1230",,,"930","810","1410","1230",,,"7595658","https://media-cdn.tripadvisor.com/media/photo-o/07/66/f4/bf/boletus-y-foie.jpg","false","false","43.54419","-5.662581","Padrino - Comida Sobre Masa","875","+34 985 35 37 62","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d7595658-Reviews-Padrino_Comida_Sobre_Masa-Gijon_Asturias.html","http://www.facebook.com/PadrinoComidaSobreMasa/"
"Calle Muelle de Oriente 3, 33201, Gijón España","Española","Saludable","Fusión","Opciones sin gluten",,,,,,,,,,"Opciones sin gluten",,,,"sixtosrestaurante@gmail.com","960","810",,,,,,,,,,,,,,,,,"960","810","1440","1230",,,"960","810","1440","1230",,,"960","810","1440","1230",,,"960","810","1440","1230",,,"14864513","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/fa/83/f8/img-20180803-wa0003-largejpg.jpg","false","false","43.544483","-5.664176","Sixtos","162","+34 984 29 06 02","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d14864513-Reviews-Sixtos-Gijon_Asturias.html","http://www.sixtosrestaurante.es"
"Avenida Covadonga 27, 33550, Cangas de Onís España","Mediterránea","Española","Comedor","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"info@bartiendaenol.com","1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"8472528","https://media-cdn.tripadvisor.com/media/photo-o/08/91/d9/ee/bar-tienda-enol.jpg","false","false","43.35102","-5.126934","Bar Tienda Enol","669","+34 984 29 48 72","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g662890-d8472528-Reviews-Bar_Tienda_Enol-Cangas_de_Onis_Asturias.html","http://www.facebook.com/Bartiendaenol?fref=ts"
"Near Museo delos Molinos de Mazonovo, 33775, Taramundi España","Española",,,,,,,,,,,,,,,,,"info@mesonmazonovo.es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10543957","https://media-cdn.tripadvisor.com/media/photo-o/0c/6a/11/b9/img-20160805-wa0000-largejpg.jpg","false","false","43.356773","-7.106453","Meson Mazonovo","437","+34 985 64 68 17","€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g1070370-d10543957-Reviews-Meson_Mazonovo-Taramundi_Asturias.html","http://www.mesonmazonovo.es"
"Plaza De España, 9, 33402, Avilés España","Mediterránea","Saludable","Europea","Española","Internacional","Contemporánea","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"hector@palaciodeaviles.es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3167504","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/21/ef/bb/uno-de-los-platos-estrella.jpg","false","false","43.5551","-5.922683","LaCapilla Restauración","349","+34 985 12 77 00","€€€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187450-d3167504-Reviews-LaCapilla_Restauracion-Aviles_Asturias.html","http://www.palaciodeaviles.com/restaurante-la-capilla/"
